Расчет 1			Расчет 2			Расчет 3			Расчет 4			Расчет 5			Расчет 6			Расчет 7			Расчет 8			Расчет 9			Расчет 10			Расчет 11			Расчет 12			Расчет 13			Расчет 14			Расчет 15			Расчет 16			Расчет 17			Расчет 18			Расчет 19			Расчет 20			Расчет 21			Расчет 22	
21,6	20,28		21,6	22,55		21,6	24,43		21,6	25,93		21,6	27,08		21,6	28,01		21,6	29,57		21,6	30,56		21,6	31,65		21,6	32,23		21,6	32,6		8,82	20,28		8,82	24,2		8,82	27,85		8,82	31,06		8,82	33,77		8,82	36,08		8,82	40,26		8,82	43,06		8,82	46,34		8,82	48,12		8,82	49,27
22,8	20,28		22,8	22,58		22,8	24,49		22,8	26		22,8	27,18		22,8	28,12		22,8	29,7		22,8	30,7		22,8	31,82		22,8	32,4		22,8	32,78		9,31	20,28		9,31	24,21		9,31	27,87		9,31	31,11		9,31	33,84		9,31	36,16		9,31	40,39		9,31	43,23		9,31	46,56		9,31	48,36		9,31	49,53
24	20,28		24	22,61		24	24,54		24	26,08		24	27,27		24	28,22		24	29,84		24	30,85		24	31,99		24	32,58		24	32,96		9,8	20,28		9,8	24,22		9,8	27,9		9,8	31,15		9,8	33,9		9,8	36,25		9,8	40,53		9,8	43,4		9,8	46,78		9,8	48,61		9,8	49,79
25,2	20,28		25,2	22,64		25,2	24,6		25,2	26,16		25,2	27,37		25,2	28,33		25,2	29,97		25,2	31,01		25,2	32,16		25,2	32,76		25,2	33,15		10,29	20,28		10,29	24,23		10,29	27,92		10,29	31,19		10,29	33,97		10,29	36,34		10,29	40,66		10,29	43,58		10,29	47		10,29	48,86		10,29	50,06
26,4	20,28		26,4	22,67		26,4	24,65		26,4	26,23		26,4	27,46		26,4	28,44		26,4	30,11		26,4	31,16		26,4	32,33		26,4	32,95		26,4	33,35		10,78	20,28		10,78	24,23		10,78	27,94		10,78	31,24		10,78	34,03		10,78	36,42		10,78	40,8		10,78	43,75		10,78	47,23		10,78	49,11		10,78	50,34
27,6	20,28		27,6	22,7		27,6	24,71		27,6	26,31		27,6	27,56		27,6	28,56		27,6	30,25		27,6	31,32		27,6	32,51		27,6	33,14		27,6	33,54		11,27	20,28		11,27	24,24		11,27	27,96		11,27	31,28		11,27	34,1		11,27	36,51		11,27	40,94		11,27	43,93		11,27	47,45		11,27	49,37		11,27	50,61
28,8	20,28		28,8	22,73		28,8	24,77		28,8	26,39		28,8	27,66		28,8	28,67		28,8	30,39		28,8	31,48		28,8	32,69		28,8	33,33		28,8	33,74		11,76	20,28		11,76	24,25		11,76	27,98		11,76	31,32		11,76	34,16		11,76	36,6		11,76	41,07		11,76	44,11		11,76	47,68		11,76	49,63		11,76	50,9
30	20,28		30	22,76		30	24,83		30	26,47		30	27,76		30	28,79		30	30,53		30	31,64		30	32,88		30	33,53		30	33,95		12,25	20,28		12,25	24,26		12,25	28,01		12,25	31,36		12,25	34,23		12,25	36,69		12,25	41,21		12,25	44,29		12,25	47,92		12,25	49,9		12,25	51,19
31,2	20,28		31,2	22,79		31,2	24,88		31,2	26,55		31,2	27,86		31,2	28,9		31,2	30,68		31,2	31,8		31,2	33,06		31,2	33,73		31,2	34,15		12,74	20,28		12,74	24,26		12,74	28,03		12,74	31,4		12,74	34,29		12,74	36,78		12,74	41,36		12,74	44,47		12,74	48,16		12,74	50,17		12,74	51,48
32,4	20,28		32,4	22,82		32,4	24,94		32,4	26,64		32,4	27,96		32,4	29,02		32,4	30,83		32,4	31,97		32,4	33,25		32,4	33,93		32,4	34,36		13,23	20,28		13,23	24,27		13,23	28,05		13,23	31,44		13,23	34,36		13,23	36,87		13,23	41,5		13,23	44,66		13,23	48,4		13,23	50,44		13,23	51,78
33,6	20,28		33,6	22,85		33,6	25		33,6	26,72		33,6	28,06		33,6	29,14		33,6	30,98		33,6	32,14		33,6	33,45		33,6	34,14		33,6	34,58		13,72	20,28		13,72	24,28		13,72	28,07		13,72	31,49		13,72	34,42		13,72	36,96		13,72	41,64		13,72	44,85		13,72	48,65		13,72	50,72		13,72	52,08
34,8	20,28		34,8	22,88		34,8	25,06		34,8	26,8		34,8	28,17		34,8	29,26		34,8	31,13		34,8	32,32		34,8	33,65		34,8	34,35		34,8	34,8		14,21	20,28		14,21	24,28		14,21	28,09		14,21	31,53		14,21	34,49		14,21	37,05		14,21	41,79		14,21	45,04		14,21	48,9		14,21	51,01		14,21	52,39
36	20,28		36	22,91		36	25,12		36	26,89		36	28,27		36	29,39		36	31,29		36	32,49		36	33,85		36	34,56		36	35,02		14,7	20,28		14,7	24,29		14,7	28,11		14,7	31,57		14,7	34,55		14,7	37,14		14,7	41,94		14,7	45,23		14,7	49,15		14,7	51,3		14,7	52,7
37,2	20,28		37,2	22,95		37,2	25,18		37,2	26,98		37,2	28,38		37,2	29,51		37,2	31,44		37,2	32,67		37,2	34,05		37,2	34,78		37,2	35,25		15,19	20,28		15,19	24,3		15,19	28,13		15,19	31,61		15,19	34,62		15,19	37,23		15,19	42,08		15,19	45,42		15,19	49,41		15,19	51,59		15,19	53,02
38,4	20,28		38,4	22,98		38,4	25,24		38,4	27,06		38,4	28,49		38,4	29,64		38,4	31,6		38,4	32,85		38,4	34,26		38,4	35,01		38,4	35,48		15,68	20,28		15,68	24,3		15,68	28,15		15,68	31,65		15,68	34,68		15,68	37,32		15,68	42,23		15,68	45,62		15,68	49,67		15,68	51,89		15,68	53,35
39,6	20,28		39,6	23,01		39,6	25,31		39,6	27,15		39,6	28,6		39,6	29,77		39,6	31,77		39,6	33,04		39,6	34,47		39,6	35,23		39,6	35,72		16,17	20,28		16,17	24,31		16,17	28,17		16,17	31,69		16,17	34,74		16,17	37,41		16,17	42,38		16,17	45,82		16,17	49,93		16,17	52,2		16,17	53,68
