Расчет 1			Расчет 2			Расчет 3			Расчет 4			Расчет 5			Расчет 6			Расчет 7			Расчет 8			Расчет 9			Расчет 10			Расчет 11			Расчет 12			Расчет 13			Расчет 14			Расчет 15			Расчет 16			Расчет 17			Расчет 18			Расчет 19			Расчет 20			Расчет 21			Расчет 22	
93,6	20,28		93,6	24,29		93,6	28,14		93,6	31,69		93,6	34,85		93,6	37,66		93,6	43,12		93,6	47,09		93,6	52,08		93,6	54,97		93,6	56,95		38,22	20,28		38,22	24,43		38,22	28,64		38,22	32,9		38,22	37,09		38,22	41,22		38,22	50,43		38,22	58,18		38,22	69,25		38,22	76,31		38,22	81,41
94,8	20,28		94,8	24,31		94,8	28,18		94,8	31,79		94,8	35		94,8	37,88		94,8	43,51		94,8	47,62		94,8	52,83		94,8	55,87		94,8	57,96		38,71	20,28		38,71	24,44		38,71	28,65		38,71	32,92		38,71	37,12		38,71	41,28		38,71	50,62		38,71	58,55		38,71	69,96		38,71	77,31		38,71	82,63
96	20,28		96	24,32		96	28,23		96	31,88		96	35,15		96	38,1		96	43,9		96	48,17		96	53,62		96	56,81		96	59,01		39,2	20,28		39,2	24,44		39,2	28,65		39,2	32,93		39,2	37,15		39,2	41,34		39,2	50,81		39,2	58,92		39,2	70,7		39,2	78,34		39,2	83,91
97,2	20,28		97,2	24,33		97,2	28,27		97,2	31,97		97,2	35,3		97,2	38,32		97,2	44,3		97,2	48,74		97,2	54,44		97,2	57,8		97,2	60,13		39,69	20,28		39,69	24,44		39,69	28,66		39,69	32,94		39,69	37,18		39,69	41,4		39,69	51		39,69	59,29		39,69	71,46		39,69	79,42		39,69	85,25
98,4	20,28		98,4	24,34		98,4	28,31		98,4	32,05		98,4	35,45		98,4	38,54		98,4	44,71		98,4	49,33		98,4	55,3		98,4	58,85		98,4	61,31		40,18	20,28		40,18	24,44		40,18	28,67		40,18	32,96		40,18	37,21		40,18	41,46		40,18	51,19		40,18	59,67		40,18	72,24		40,18	80,54		40,18	86,66
99,6	20,28		99,6	24,35		99,6	28,34		99,6	32,14		99,6	35,6		99,6	38,76		99,6	45,13		99,6	49,93		99,6	56,2		99,6	59,95		99,6	62,57		40,67	20,28		40,67	24,44		40,67	28,67		40,67	32,97		40,67	37,23		40,67	41,51		40,67	51,37		40,67	60,05		40,67	73,05		40,67	81,71		40,67	88,15
100,8	20,28		100,8	24,36		100,8	28,38		100,8	32,22		100,8	35,74		100,8	38,98		100,8	45,55		100,8	50,56		100,8	57,14		100,8	61,11		100,8	63,9		41,16	20,28		41,16	24,45		41,16	28,68		41,16	32,98		41,16	37,26		41,16	41,57		41,16	51,56		41,16	60,43		41,16	73,88		41,16	82,94		41,16	89,72
102	20,28		102	24,37		102	28,41		102	32,3		102	35,88		102	39,2		102	45,98		102	51,2		102	58,14		102	62,35		102	65,33		41,65	20,28		41,65	24,45		41,65	28,68		41,65	32,99		41,65	37,29		41,65	41,62		41,65	51,74		41,65	60,82		41,65	74,75		41,65	84,23		41,65	91,38
103,2	20,28		103,2	24,38		103,2	28,44		103,2	32,37		103,2	36,02		103,2	39,42		103,2	46,42		103,2	51,87		103,2	59,18		103,2	63,67		103,2	66,86		42,14	20,28		42,14	24,45		42,14	28,69		42,14	33,01		42,14	37,31		42,14	41,67		42,14	51,91		42,14	61,21		42,14	75,64		42,14	85,58		42,14	93,15
104,4	20,28		104,4	24,39		104,4	28,47		104,4	32,44		104,4	36,15		104,4	39,63		104,4	46,87		104,4	52,56		104,4	60,28		104,4	65,07		104,4	68,49		42,63	20,28		42,63	24,45		42,63	28,7		42,63	33,02		42,63	37,34		42,63	41,72		42,63	52,09		42,63	61,6		42,63	76,56		42,63	87		42,63	95,03
105,6	20,28		105,6	24,39		105,6	28,5		105,6	32,51		105,6	36,28		105,6	39,84		105,6	47,32		105,6	53,28		105,6	61,45		105,6	66,56		105,6	70,26		43,12	20,28		43,12	24,45		43,12	28,7		43,12	33,03		43,12	37,37		43,12	41,77		43,12	52,26		43,12	61,99		43,12	77,52		43,12	88,5		43,12	97,03
106,8	20,28		106,8	24,4		106,8	28,52		106,8	32,57		106,8	36,4		106,8	40,05		106,8	47,78		106,8	54,01		106,8	62,68		106,8	68,17		106,8	72,17		43,61	20,28		43,61	24,45		43,61	28,71		43,61	33,05		43,61	37,39		43,61	41,82		43,61	52,43		43,61	62,38		43,61	78,51		43,61	90,09		43,61	99,18
108	20,28		108	24,41		108	28,54		108	32,63		108	36,52		108	40,25		108	48,24		108	54,78		108	63,99		108	69,9		108	74,24		44,1	20,28		44,1	24,45		44,1	28,72		44,1	33,06		44,1	37,42		44,1	41,86		44,1	52,6		44,1	62,78		44,1	79,53		44,1	91,77		44,1	101,49
109,2	20,28		109,2	24,41		109,2	28,57		109,2	32,69		109,2	36,64		109,2	40,45		109,2	48,71		109,2	55,56		109,2	65,37		109,2	71,76		109,2	76,51		44,59	20,28		44,59	24,45		44,59	28,72		44,59	33,08		44,59	37,45		44,59	41,91		44,59	52,76		44,59	63,17		44,59	80,6		44,59	93,55		44,59	103,98
110,4	20,28		110,4	24,42		110,4	28,59		110,4	32,74		110,4	36,75		110,4	40,64		110,4	49,18		110,4	56,38		110,4	66,85		110,4	73,78		110,4	79		45,08	20,28		45,08	24,45		45,08	28,72		45,08	33,09		45,08	37,48		45,08	41,96		45,08	52,92		45,08	63,57		45,08	81,71		45,08	95,45		45,08	106,7
111,6	20,28		111,6	24,42		111,6	28,6		111,6	32,79		111,6	36,85		111,6	40,83		111,6	49,65		111,6	57,22		111,6	68,43		111,6	75,98		111,6	81,75		45,57	20,28		45,57	24,44		45,57	28,72		45,57	33,1		45,57	37,5		45,57	42,01		45,57	53,09		45,57	63,97		45,57	82,87		45,57	97,49		45,57	109,66
112,8	20,28		112,8	24,43		112,8	28,62		112,8	32,84		112,8	36,95		112,8	41,01		112,8	50,13		112,8	58,09		112,8	70,13		112,8	78,39		112,8	84,81		46,06	20,28		46,06	24,44		46,06	28,72		46,06	33,1		46,06	37,53		46,06	42,05		46,06	53,25		46,06	64,36		46,06	84,08		46,06	99,68		46,06	112,94
114	20,28		114	24,43		114	28,64		114	32,88		114	37,05		114	41,18		114	50,6		114	58,98		114	71,94		114	81,04		114	88,25		46,55	20,28		46,55	24,43		46,55	28,71		46,55	33,1		46,55	37,54		46,55	42,09		46,55	53,42		46,55	64,76		46,55	85,34		46,55	102,06		46,55	116,58
115,2	20,28		115,2	24,43		115,2	28,65		115,2	32,92		115,2	37,14		115,2	41,34		115,2	51,08		115,2	59,9		115,2	73,91		115,2	83,99		115,2	92,14		47,04	20,28		47,04	24,42		47,04	28,69		47,04	33,08		47,04	37,55		47,04	42,11		47,04	53,58		47,04	65,16		47,04	86,68		47,04	104,67		47,04	120,69
116,4	20,28		116,4	24,43		116,4	28,66		116,4	32,96		116,4	37,22		116,4	41,5		116,4	51,55		116,4	60,85		116,4	76,04		116,4	87,28		116,4	96,63		47,53	20,28		47,53	24,41		47,53	28,67		47,53	33,05		47,53	37,53		47,53	42,11		47,53	53,72		47,53	65,55		47,53	88,08		47,53	107,57		47,53	125,42
117,6	20,28		117,6	24,43		117,6	28,67		117,6	32,99		117,6	37,3		117,6	41,64		117,6	52,02		117,6	61,8		117,6	78,36		117,6	91,01		117,6	101,86		48,02	20,28		48,02	24,39		48,02	28,63		48,02	33		48,02	37,47		48,02	42,06		48,02	53,8		48,02	65,88		48,02	89,54		48,02	110,86		48,02	130,99
118,8	20,28		118,8	24,43		118,8	28,67		118,8	33		118,8	37,36		118,8	41,76		118,8	52,49		118,8	62,73		118,8	80,9		118,8	95,31		118,8	108,09		48,51	20,28		48,51	24,38		48,51	28,59		48,51	32,92		48,51	37,37		48,51	41,94		48,51	53,76		48,51	66,05		48,51	90,94		48,51	114,66		48,51	137,7
120	20,28		120	24,42		120	28,66		120	33		120	37,39		120	41,83		120	52,92		120	63,6		120	83,63		120	100,41		120	115,64		49	20,28		49	24,37		49	28,56		49	32,85		49	37,24		49	41,74		49	53,47		49	65,82		49	91,87		49	118,74		49	145,58
121	20,28		121	23,97		121	27,69		121	31,44		121	35,19		121	38,95		121	48,33		121	57,38		121	74,24		121	89,22		121	102,16		49,1	20,28		49,1	23,93		49,1	27,6		49,1	31,29		49,1	35,02		49,1	38,79		49,1	48,44		49,1	58,39		49,1	78,99		49,1	100,07		49,1	121,03
122	20,28		122	23,52		122	26,74		122	29,94		122	33,1		122	36,26		122	44,03		122	51,54		122	65,56		122	78,15		122	89,31		49,2	20,28		49,2	23,49		49,2	26,67		49,2	29,81		49,2	32,94		49,2	36,07		49,2	43,91		49,2	51,81		49,2	67,8		49,2	83,92		49,2	99,92
123	20,28		123	23,09		123	25,83		123	28,51		123	31,14		123	33,73		123	40,04		123	46,11		123	57,44		123	67,59		123	76,79		49,3	20,28		49,3	23,06		49,3	25,77		49,3	28,41		49,3	31		49,3	33,55		49,3	39,82		49,3	45,99		49,3	58,17		49,3	70,18		49,3	81,99
124	20,28		124	22,66		124	24,95		124	27,15		124	29,29		124	31,37		124	36,36		124	41,1		124	49,88		124	57,84		124	65,1		49,4	20,28		49,4	22,64		49,4	24,9		49,4	27,07		49,4	29,17		49,4	31,21		49,4	36,14		49,4	40,86		49,4	49,93		49,4	58,64		49,4	67,06
125	20,28		125	22,24		125	24,09		125	25,85		125	27,54		125	29,16		125	32,99		125	36,56		125	43,11		125	48,98		125	54,35		49,5	20,28		49,5	22,23		49,5	24,06		49,5	25,8		49,5	27,45		49,5	29,04		49,5	32,8		49,5	36,32		49,5	42,89		49,5	49,01		49,5	54,81
126	20,28		126	21,83		126	23,27		126	24,62		126	25,9		126	27,11		126	29,92		126	32,5		126	37,11		126	41,23		126	44,97		49,6	20,28		49,6	21,83		49,6	23,25		49,6	24,58		49,6	25,84		49,6	27,03		49,6	29,79		49,6	32,31		49,6	36,88		49,6	41,01		49,6	44,83
127	20,28		127	21,43		127	22,48		127	23,44		127	24,35		127	25,19		127	27,12		127	28,86		127	31,9		127	34,55		127	36,93		49,7	20,28		49,7	21,43		49,7	22,47		49,7	23,43		49,7	24,32		49,7	25,15		49,7	27,05		49,7	28,75		49,7	31,74		49,7	34,36		49,7	36,72
128	20,28		128	21,04		128	21,72		128	22,33		128	22,9		128	23,43		128	24,6		128	25,64		128	27,4		128	28,91		128	30,22		49,8	20,28		49,8	21,04		49,8	21,71		49,8	22,33		49,8	22,89		49,8	23,41		49,8	24,57		49,8	25,59		49,8	27,33		49,8	28,81		49,8	30,11
129	20,28		129	20,65		129	20,98		129	21,28		129	21,55		129	21,79		129	22,33		129	22,79		129	23,56		129	24,19		129	24,74		49,9	20,28		49,9	20,65		49,9	20,98		49,9	21,28		49,9	21,54		49,9	21,79		49,9	22,32		49,9	22,78		49,9	23,54		49,9	24,17		49,9	24,7
130	20,28		130	20,28		130	20,28		130	20,28		130	20,28		130	20,28		130	20,28		130	20,28		130	20,28		130	20,28		130	20,28		50	20,28		50	20,28		50	20,28		50	20,28		50	20,28		50	20,28		50	20,28		50	20,28		50	20,28		50	20,28		50	20,28
